listri a vrezel	lestr-brezel
reposvan	repozvan
darc'ha	darc'hañ
spalouër bras	sparfell-vras
reneuéamant	renevezamant
tafia	tafia
déjunet	dijuniñ
cresserelle	kreserel
an drevach	trevaj
goustet	gousti?
ar c'hlask	klask
souten	souten
kigeret	kigeriñ
dizarle	dizarle
bali sant Jakez	Jakez
lovradur	lovradur
ar c'hlaskerien ho bouëd	klasker-e-voued
sal	seul
Daleer	daleer
razein	raziñ
daoulinet	daoulinet
kuneheg	gwinizheg
prest	prest
a zicouras	sikour
meaz	maez
troc'her-coat	troc'her-koad
divehet	divec'hiañ
discrognet	diskrognet
farouel	farouell
pors-cloz	porzhkloz
gourgammou	gourgamm
Pistaon	pistaon
a pet	pet
fumi	fumañ
avréhussan	avrec'hus
dihouilhet	dihouilhet
demeus	dimeus
dinac'hiou	dinac'h
besiadou	bezia
finisa	finisañ
esterloup	esterloup
morvleizi	morvleiz
sparv	sparf
instituet	instituañ
dem-anaout	damanavezout
auter	aoter
divoutona	divountonañ
Paludenn	paludenn
troc'h-goug	troc'h-gouzoug
stalerez	stalerezh
gomport	komport
ar gastidigez	kastidigezh
Doucig	dousik
dic'hlaignet	dic'hlanniet
isfond	isfont
o voenni	gouenniñ
avantachi	avantajiñ
dizañtren	dizantren
votinesen	botinezenn
ur brosen	prozenn
crisset	kriset
koulsoc'h	koulz
renoncereah	renoserezh
chapel croaz	chapel-groaz
dislea	dizleañ
divraza	divrazañ
Kefiniañtez	kevniantez
eih-diat	eizhteziad
clore	klor
toump	toump
beteg-hen	betek-henn
bag	bag
duta	tuta
mar-dan-doustik	mardandoustik
moumou	moumoun
lardous	lardous
divoaz	divoas
dirouestl	dirouestl
dic'hlac'har	dic'hlac'hari
morbig-marellet	morbig-marellet
gabanen	kabanenn
erec	ereg
impar	ampar
nervennet	nervennet
bouillas	bouilhas
heuzañ	heuzañ
hadkoachet	adkoacha
greadigez	graedigezh
taneoc'h	tane
scrign-dent	skrign-dent
dinahein	dinac'hiñ
skora	skorañ
beur-savetei	peursaveteiñ
fellout	fellel
mouistet	mouestet
richen	richen
takounet	takonet
ar c'horred	korr
spled	spled
kommand eost	koumanant-eost
mane	mann
c'hollad	kollad
terriet	terriet
mignaoual	mignaoual
lanevez	lannevez
polisenni	polisenniñ
chalounessou	chalones
einebage	enebaj
prozen	prozenn
garinebet	garenebiñ
tripoterez	tripoterezh
Sentuz	sentus
peur-glasq	peurglask
motennet	motennet
goal-guemeret	gwallgemeret
dissimur	disimur
ged	get
a ziadost	diadost
beon	beon
morléein	morleiñ
thereza	tereza
fumi	fuma?/fumi?/fumal
corgam	gourgamm
comparabl	komparapl
ankinus	ankenius/ankenus
ingal	ingal
lipousiez	lipouziezh
fass a fass	fas-ha-fas
attrapet	atrapet
poah	poah
miller	miller
domach	domaj
ergentaou	ergentaou
an drabel	trabell
izilied	iziliet
morfad	moarvat
ispridet	ispridet
dleour	dleour
kouita	kuita
astenn-gouzoug	astenn-gouzoug
rebutet	reputañ/reputiñ
oliou	oliou
envoadet	enwadet
oll-pur	hollbur
diac'huz	diyac'hus
meuta	meuta
laouik	laouig
azprena	asprenañ
diskianteka	diskiantek
kuh	kuzh
ar gristenach	kristenaj
